2024/01/30 02:36
800        Number of data points
  lat     lon
27.88699 50.38036
27.88699 50.37992
27.88655 50.37992
27.88655 50.37814
27.88699 50.37814
27.88699 50.37726
27.88743 50.37726
27.88743 50.37681
27.89009 50.37681
27.89009 50.37770
27.88921 50.37770
27.88921 50.37814
27.88876 50.37814
27.88876 50.37903
27.88832 50.37903
27.88832 50.37992
27.88743 50.37992
27.88743 50.38036
27.88699 50.38036
27.88699 50.38036
27.88876 50.36618
27.88876 50.36573
27.88921 50.36573
27.88921 50.36529
27.88876 50.36529
27.88876 50.36440
27.88921 50.36440
27.88921 50.36352
27.88965 50.36352
27.88965 50.36308
27.89098 50.36308
27.89098 50.36440
27.89054 50.36440
27.89054 50.36485
27.89009 50.36485
27.89009 50.36529
27.89054 50.36529
27.89054 50.36618
27.89009 50.36618
27.89009 50.36662
27.88921 50.36662
27.88921 50.36618
27.88876 50.36618
27.88876 50.36618
27.89319 50.36219
27.89319 50.36396
27.89408 50.36396
27.89408 50.36440
27.89452 50.36440
27.89452 50.36485
27.89497 50.36485
27.89497 50.36618
27.89452 50.36618
27.89452 50.36573
27.89408 50.36573
27.89408 50.36618
27.89319 50.36618
27.89319 50.36573
27.89275 50.36573
27.89275 50.36352
27.89231 50.36352
27.89231 50.36263
27.89275 50.36263
27.89275 50.36219
27.89319 50.36219
27.89319 50.36219
27.89984 50.36573
27.89984 50.36618
27.89940 50.36618
27.89940 50.36573
27.89896 50.36573
27.89896 50.36529
27.89851 50.36529
27.89851 50.36485
27.89630 50.36485
27.89630 50.36440
27.89718 50.36440
27.89718 50.36352
27.89763 50.36352
27.89763 50.36219
27.89807 50.36219
27.89807 50.36042
27.89896 50.36042
27.89896 50.36086
27.89940 50.36086
27.89940 50.36130
27.89984 50.36130
27.89984 50.36175
27.90029 50.36175
27.90029 50.36263
27.89940 50.36263
27.89940 50.36308
27.89896 50.36308
27.89896 50.36396
27.89940 50.36396
27.89940 50.36440
27.90073 50.36440
27.90073 50.36396
27.90117 50.36396
27.90117 50.36308
27.90472 50.36308
27.90472 50.36263
27.90516 50.36263
27.90516 50.36219
27.90560 50.36219
27.90560 50.36175
27.90649 50.36175
27.90649 50.36219
27.90693 50.36219
27.90693 50.36263
27.90649 50.36263
27.90649 50.36308
27.90605 50.36308
27.90605 50.36352
27.90560 50.36352
27.90560 50.36396
27.90472 50.36396
27.90472 50.36440
27.90339 50.36440
27.90339 50.36485
27.90294 50.36485
27.90294 50.36529
27.90029 50.36529
27.90029 50.36573
27.89984 50.36573
27.89984 50.36573
27.90161 50.38125
27.90073 50.38125
27.90073 50.38169
27.89984 50.38169
27.89984 50.38125
27.89940 50.38125
27.89940 50.38036
27.89984 50.38036
27.89984 50.37947
27.90029 50.37947
27.90029 50.37992
27.90073 50.37992
27.90073 50.37903
27.90117 50.37903
27.90117 50.37770
27.90161 50.37770
27.90161 50.37726
27.90206 50.37726
27.90206 50.37681
27.90339 50.37681
27.90339 50.37637
27.90383 50.37637
27.90383 50.37593
27.90472 50.37593
27.90472 50.37681
27.90427 50.37681
27.90427 50.37726
27.90383 50.37726
27.90383 50.37770
