oil_name;oil_location;oil_density;oil_api;oil_temp;oil_visc;oil_res_dens;oil_res_perc;oil_vap_press
BunkerC;undefined;0.989;12.00;40.00;000300.0;0.999;97.50;0.001
Aboozar;Iran;0.893;26.96;20.00;00036.60;0.934;65.48;0.379
Abu al bu Khoosh;Abu Dhabi;0.868;31.60;38.00;00006.70;0.918;58.69;0.241
Agha Jari;Iran;0.854;34.10;38.00;00006.00;0.915;49.19;0.134
Alaskan north slope;USA;0.896;26.40;38.00;00042.40;0.936;66.71;0.242
Alberta mix;Canada;0.833;38.40;38.00;00002.90;0.894;48.91;0.412
Amna (high pour);Libya;0.844;36.10;38.00;00013.70;0.887;64.41;0.269
Anaco;Latin America;0.818;41.50;38.00;00003.00;0.883;45.72;0.439
Aneth;USA;0.821;40.90;38.00;00006.00;0.874;55.68;0.434
Anquille;Gabon;0.865;32.00;00.00;00012.40;0.900;71.05;0.483
Arabian Heavy;Saudi Arabia;0.886;28.20;38.00;00018.90;0.962;64.54;0.686
Arabian heavy (Safaniya);Saudi Arabia;0.888;27.90;38.00;00019.00;0.924;69.60;0.516
Arabian Light;Saudi Arabia;0.858;33.40;38.00;00006.25;0.927;60.22;0.290
Arabian light (Berri);Saudi Arabia;0.836;37.80;38.00;00003.86;0.907;53.28;0.275
Arabian medium;Saudi Arabia;0.872;30.80;38.00;00009.40;0.945;61.22;0.221
Arabian medium (Zuluf);Saudi Arabia;0.870;31.10;38.00;00011.01;0.918;59.72;0.572
Argyl;UK (North Sea);0.832;38.60;15.00;00003.70;0.885;61.27;0.414
Arjuna;Indonesia;0.836;37.70;38.00;00003.50;0.894;51.97;0.483
Arzew blend;Algeria;0.805;44.30;38.00;00002.40;0.839;72.05;0.463
Ashtart;Tunisia;0.882;29.00;38.00;00024.00;0.940;51.49;0.126
Attaka;Indonesia;0.808;43.70;38.00;00001.40;0.904;20.00;0.458
Auk;UK (North Sea);0.839;37.20;40.00;00004.40;0.874;70.90;0.414
Bachequero 16.80 API;Venezuela;0.954;16.80;38.00;00029.00;0.975;82.11;0.224
Badak;Indonesia;0.828;39.40;38.00;00382.00;0.948;46.90;0.469
Bahrgansar/Nowruz;Iran;0.892;27.10;38.00;00020.40;0.924;73.47;0.560
Bai Hassan Jambur;Iraq;0.854;34.10;38.00;00005.60;0.906;56.91;0.510
Barinas;Venezuela;0.897;26.20;38.00;00026.00;0.937;66.35;0.306
Basrah;Iraq;0.856;33.90;27.00;00011.00;0.976;56.30;0.373
Basrah heavy;Iraq;0.906;24.70;10.00;00086.30;0.940;71.59;0.207
Basrah light;Iraq;0.857;33.70;10.00;00015.00;0.922;63.65;0.371
Basrah medium;Iraq;0.870;31.10;10.00;00041.00;0.910;66.32;0.348
BCF 24;Venezuela;0.913;23.50;38.00;00041.00;0.943;75.03;0.282
Bekapai;Indonesia;0.821;41.10;38.00;00004.54;0.898;35.83;0.435
Belayim;Egypt;0.890;27.50;20.00;00051.30;0.929;67.55;0.448
Beryl;UK (North Sea);0.827;39.60;38.00;00002.90;0.905;48.78;0.786
Bisti;USA;0.830;39.00;15.00;00012.00;0.895;45.84;0.417
Bomu;Nigeria;0.861;32.90;38.00;00004.70;0.912;57.65;0.364
Bonny light;Nigeria;0.841;36.70;38.00;00003.50;0.902;49.37;0.397
Bonny medium;Nigeria;0.903;25.20;38.00;00012.00;0.940;69.41;0.297
Boscom;Venezuela;1.076;00.00;38.00;9999;1.061;91.53;0.078
Bow river heavy;Alberta Canada;0.894;26.70;38.00;00018.30;0.937;64.44;0.372
Brass river;Nigeria;0.821;40.90;20.00;00004.00;0.894;39.14;0.470
Brega;Libya;0.823;40.40;38.00;00003.60;0.898;49.78;0.441
Brent;UK (North Sea);0.834;38.20;40.00;00003.70;0.948;04.74;0.586
Bu-Attipel;Libya;0.864;32.20;38.00;00002.50;0.984;59.20;0.491
Buchan;UK (North Sea);0.858;33.50;20.00;00011.80;0.920;62.29;0.369
Cabinda;Angola;0.861;32.90;38.00;00015.00;0.900;67.54;0.276
Centa;Venezuela;0.867;31.80;38.00;00011.00;0.917;58.07;0.184
Ceuta-Zulia;South America;0.870;31.10;38.00;00009.00;0.918;60.22;0.348
Cinta;Indonesia;0.856;33.90;50.00;00024.00;0.976;56.30;0.373
Cold Lake;Alberta Canada;0.903;25.20;15.00;00070.70;0.959;53.52;0.297
Denver-Julesberg;USA;0.826;39.90;38.00;00003.20;0.877;57.10;0.425
Djeno Bled;Congo;0.893;26.90;10.00;00220.00;0.936;64.25;0.281
Dorrood (Darius);Iran;0.857;33.60;38.00;00005.65;0.914;52.09;0.448
Dubai (Fateh);Dubai;0.871;31.00;20.00;00012.80;0.942;59.82;0.419
Dukhan (Quatar Land);Quatar;0.817;41.70;27.00;00005.30;0.882;45.69;0.806
Dunlin;UK (North Sea);0.850;34.90;40.00;00004.90;0.901;57.62;0.381
Duri;Indonesia;0.930;20.60;38.00;00400.00;0.941;90.59;0.257
East Texas;USA;0.835;38.00;38.00;00004.30;0.873;68.60;0.408
Ecuador (Oriente);Ecuador;0.874;30.40;38.00;00010.80;0.918;63.29;0.331
Ekhabinskaya;Russia;0.872;30.70;50.00;00003.50;0.992;61.76;0.098
Ekofisk;Norway (North Sea);0.806;44.00;20.00;00003.00;0.911;32.78;0.524
El Bunduq;Abu Dhabi;0.832;38.50;38.00;00002.80;0.952;48.44;0.483
El Hofra;Libya;0.814;42.30;38.00;00002.20;0.889;37.33;0.446
Emeraude;Congo;0.912;23.60;38.00;00078.00;1.032;73.89;0.186
Eocene (Wafra);Neutral zone;0.943;18.60;50.00;00015.50;0.967;79.92;0.076
Es Sider;Libya;0.841;36.70;38.00;00005.26;0.903;59.31;0.429
Escravos;Nigeria;0.844;36.20;38.00;00003.60;0.903;50.65;0.310
